# Nr of Items 
50
# Nr of Knapsacks 
10
# Nr of Constraints 
2
# Items profits:
31 
25 
94 
6 
80 
57 
23 
47 
43 
78 
83 
27 
28 
78 
48 
36 
90 
82 
96 
21 
18 
60 
73 
66 
53 
13 
76 
58 
47 
35 
8 
54 
31 
60 
54 
87 
59 
23 
30 
24 
49 
24 
24 
77 
67 
60 
1 
27 
37 
30 

# Items weights:
23 78 
64 50 
63 32 
33 6 
87 32 
16 22 
52 75 
23 35 
2 57 
63 89 
89 23 
45 95 
56 95 
45 46 
1 20 
90 58 
29 43 
33 76 
13 15 
5 8 
87 22 
15 92 
81 18 
80 60 
31 43 
19 33 
27 61 
75 94 
71 34 
66 13 
99 54 
80 96 
61 65 
41 58 
68 4 
43 53 
39 67 
15 86 
11 45 
55 80 
43 87 
82 76 
74 60 
85 73 
34 28 
22 7 
49 91 
75 21 
30 92 
53 80 
# Knapsacks:
128 125 
99 129 
131 119 
110 110 
133 140 
119 149 
104 139 
140 149 
112 135 
684 727 
