# Nr of Items 
50
# Nr of Knapsacks 
10
# Nr of Constraints 
2
# Items profits:
458 
170 
387 
668 
744 
839 
857 
508 
250 
618 
40 
295 
148 
938 
215 
233 
960 
492 
881 
795 
391 
751 
735 
81 
670 
652 
879 
111 
711 
115 
369 
997 
490 
688 
242 
243 
367 
4 
711 
510 
842 
336 
264 
304 
124 
228 
927 
439 
97 
646 

# Items weights:
417 40 
771 807 
228 278 
66 316 
425 538 
862 870 
443 353 
177 850 
985 78 
488 884 
89 400 
617 181 
394 132 
624 450 
602 137 
414 385 
828 622 
280 382 
146 910 
909 273 
870 710 
222 891 
497 393 
112 704 
584 207 
724 987 
922 227 
180 703 
887 825 
512 210 
967 512 
503 240 
428 821 
494 729 
68 965 
519 76 
346 888 
233 852 
646 802 
790 430 
146 269 
953 240 
663 723 
281 108 
908 954 
351 212 
625 632 
863 30 
261 236 
101 19 
# Knapsacks:
742 563 
854 940 
836 794 
879 754 
713 779 
958 809 
582 541 
776 927 
898 738 
5455 5291 
