# Nr of Items 
50
# Nr of Knapsacks 
10
# Nr of Constraints 
2
# Items profits:
6 
18 
48 
90 
90 
85 
78 
67 
5 
87 
72 
23 
20 
78 
47 
86 
20 
48 
8 
80 
81 
77 
32 
89 
22 
14 
13 
20 
38 
66 
84 
15 
86 
37 
89 
34 
60 
30 
41 
36 
9 
45 
71 
8 
39 
70 
71 
49 
1 
51 

# Items weights:
60 68 
14 30 
99 84 
34 99 
39 15 
28 35 
55 37 
35 14 
49 8 
81 43 
100 61 
78 23 
78 28 
40 88 
46 93 
7 34 
71 13 
14 74 
18 53 
83 45 
83 66 
74 25 
64 64 
96 55 
94 52 
36 24 
1 70 
20 99 
35 8 
73 6 
73 6 
73 8 
98 38 
66 29 
78 66 
44 79 
3 60 
21 10 
81 38 
11 52 
31 88 
35 100 
37 8 
75 33 
53 52 
64 77 
73 80 
51 11 
12 4 
9 28 
# Knapsacks:
68 58 
97 73 
85 62 
82 66 
85 48 
70 75 
85 84 
66 66 
93 47 
559 511 
