# Nr of Items 
50
# Nr of Knapsacks 
5
# Nr of Constraints 
2
# Items profits:
48 
91 
20 
31 
98 
94 
44 
51 
17 
30 
57 
59 
79 
42 
99 
92 
84 
62 
28 
88 
49 
91 
12 
94 
45 
83 
91 
55 
60 
93 
70 
41 
29 
2 
71 
50 
34 
60 
21 
74 
42 
16 
18 
38 
39 
30 
41 
100 
62 
25 

# Items weights:
100 99 
58 99 
57 17 
2 26 
29 87 
8 18 
41 36 
82 32 
76 46 
87 40 
67 73 
18 18 
28 63 
99 71 
24 78 
19 59 
9 42 
79 58 
96 95 
74 14 
18 98 
4 31 
12 72 
79 11 
96 9 
33 30 
52 85 
79 17 
5 23 
85 75 
61 19 
27 20 
10 56 
5 95 
68 81 
51 91 
41 71 
20 7 
87 98 
33 12 
19 93 
50 45 
96 62 
63 25 
18 61 
9 64 
77 56 
64 20 
63 46 
3 31 
# Knapsacks:
122 160 
169 166 
178 110 
176 109 
521 609 
