# Nr of Items 
50
# Nr of Knapsacks 
5
# Nr of Constraints 
2
# Items profits:
879 
498 
9 
162 
988 
986 
432 
542 
730 
34 
369 
421 
267 
679 
481 
707 
549 
8 
838 
604 
410 
165 
831 
39 
502 
835 
267 
878 
668 
431 
325 
343 
770 
387 
908 
475 
529 
713 
273 
224 
810 
298 
841 
444 
291 
266 
506 
137 
448 
603 

# Items weights:
503 796 
569 699 
346 884 
324 648 
620 253 
713 927 
502 603 
142 591 
299 139 
896 194 
85 697 
711 871 
839 204 
388 553 
755 968 
267 800 
269 105 
138 714 
132 745 
232 928 
548 383 
776 946 
839 252 
611 973 
721 307 
615 667 
590 883 
860 23 
49 906 
825 699 
618 347 
472 905 
902 427 
42 590 
580 400 
218 815 
404 963 
726 662 
470 316 
719 642 
669 420 
384 609 
985 203 
852 942 
25 514 
379 359 
688 94 
589 86 
241 571 
927 751 
# Knapsacks:
2912 2881 
3021 3270 
2381 2871 
2193 3093 
7774 8430 
