# Nr of Items 
50
# Nr of Knapsacks 
10
# Nr of Constraints 
2
# Items profits:
832 
520 
836 
873 
33 
347 
440 
929 
605 
449 
201 
526 
57 
989 
661 
695 
513 
554 
403 
791 
758 
121 
507 
843 
356 
443 
850 
473 
72 
109 
444 
455 
22 
819 
18 
326 
56 
178 
731 
226 
163 
671 
88 
440 
779 
461 
1 
267 
686 
327 

# Items weights:
316 453 
736 37 
448 722 
452 867 
148 843 
105 33 
738 122 
99 104 
971 268 
359 40 
38 698 
557 703 
638 256 
16 486 
622 767 
251 573 
575 438 
819 259 
460 119 
83 105 
583 819 
551 897 
680 247 
154 81 
716 519 
661 58 
305 663 
247 12 
59 284 
115 920 
241 464 
630 719 
15 964 
694 495 
939 430 
318 145 
759 374 
980 229 
423 831 
536 577 
55 413 
909 178 
597 862 
996 975 
261 166 
77 347 
408 709 
865 127 
149 67 
128 769 
# Knapsacks:
1224 1266 
1344 1207 
955 1223 
920 1205 
1159 1110 
1259 1219 
1244 894 
916 1226 
908 1181 
6277 5852 
